id,Brand_Name,Color,Occasion,Size,Width,Model_Name,Market_Price,Lenskart_Price,Offer_Name,Quantity,Suited_For,Search_Product Name,Classification,Average_Ratings,Total_No_of_Ratings,Purchase_Count,Wishlist_Count
150644,Lenskart READERS,Black,Any occasion,Narrow,133 mm,LR E13699,500,500,,72,,Black Half Rim Rectangle Eyeglasses,non_power_reading,4.35,16,8953,228
151015,John Jacobs,Gold,Vacation,Extra Wide,142 mm,JJ S14447,6000,6000,JJSUN,439,Any age group,Gold Square Full Rim Sunglasses,sunglasses,5.0,2,3084,125
200337,Hooper Switch,Black,Any occasion,8-12 yrs,125 mm,HP E10043L,1500,1500,HOOPEREYE,489,8-12 yrs,Black Full Rim Square Eyeglasses,eyeframe,0.0,0,1025,0
201553,Lenskart Air Online,Blue,Any occasion,Medium,137 mm,LA E12850,1700,1700,VCEYE,1,,Blue Full Rim Rectangle Eyeglasses,eyeframe,4.55,226,4539,0
208160,John Jacobs,Tortoise,Any occasion,Extra Wide,142 mm,JJ S15565,6000,6000,JJSUN,1277,Any age group,Tortoise Square Full Rim Sunglasses,sunglasses,3.3,3,746,0
211031,Hooper,Blue,Any occasion,2-5 yrs,109 mm,HP E16078,1000,1000,HOOPEREYE,555,2-5 yrs,Blue Transparent Full Rim Rectangle Eyeglasses,eyeframe,0.0,0,525,0
146242,John Jacobs,Grey,Everyday,Wide,138 mm,JJ E13726,5000,5000,JJBOGO,287,Any age group,Matte Gunmetal Full Rim Square Eyeglasses,eyeframe,4.75,28,4732,1797
149210,John Jacobs,Silver,Any occasion,Extra Wide,143 mm,JJ E14147,5000,5000,JJBOGO,1153,Any age group,Gunmetal Green Full Rim Rectangle Eyeglasses,eyeframe,5.0,3,3359,200
201247,Vincent Chase Online,Tortoise,Any occasion,Extra Narrow,129 mm,VC E14170,1700,1700,VCEYE,505,Any age group,Tortoise Full Rim Square Eyeglasses,eyeframe,4.65,47,4052,0
201380,John Jacobs,Silver,Any occasion,Extra Wide,147 mm,JJ E11455,3500,3500,JJEYE,166,Any age group,Silver Half Rim Rectangle Eyeglasses,eyeframe,4.65,33,2239,0
201419,John Jacobs,Silver,Any occasion,Wide,140 mm,JJ E13109,3500,3500,JJEYE,1028,Any age group,Silver Black Half Rim Rectangle Eyeglasses,eyeframe,0.0,0,2923,0
201416,John Jacobs,Silver,Any occasion,Wide,142 mm,JJ E13108,3500,3500,JJEYE,151,Any age group,Silver Half Rim Rectangle Eyeglasses,eyeframe,0.0,0,2330,0
211422,Lenskart Air,Yellow,Any occasion,Medium,136 mm,LA E16160,1700,1700,VCEYE,723,Any age group,No search keywords,eyeframe,0.0,0,2119,0
213692,John Jacobs,Black,,Medium,136 mm,JJ S13227,5000,5000,JJSUN,2621,,Grey Gradient Black Full Rim Wayfarer John Jacobs JJ Tints JJ S13227-C4 Sunglasses,sunglasses,0.0,0,281,0
142898,John Jacobs,Gold,Any occasion,Medium,134 mm,JJ E13362,5000,5000,JJBOGO,1009,Any age group,Rose Gold Full Rim Square Eyeglasses,eyeframe,4.6,20,4250,898
151283,Hooper,Blue,Any occasion,8-12 yrs,127 mm,HP E10027L,1000,1000,HOOPEREYE,181,8-12 yrs,Navy Blue Full Rim Rectangle Eyeglasses,eyeframe,4.85,8,3567,0
38728,Bausch & Lomb Soflens,No color available,,No size,,Bausch & Lomb Soflens Multifocal Lenses,2850,2799,,-9,,Bausch & Lomb Soflens Multi Focal (6 Lens per Box),contact_lens,4.4,7,3342,342
200376,Vincent Chase Polarized,Gold,Vacation,Wide,142 mm,VC S13110,2000,2000,VCSUN,1406,Any age group,Gold Aviator Full Rim Sunglasses,sunglasses,4.6,40,7522,0
209579,Vincent Chase Polarized,Gunmetal,Any occasion,Wide,142 mm,VC S13110,2000,2000,VCSUN,1566,Any age group,Aviator Full Rim Sunglasses,sunglasses,0.0,0,2868,0
211391,Lenskart Air,Transparent,Any occasion,Narrow,132 mm,LA E16156,1700,1700,VCEYE,1195,Any age group,No search keywords,eyeframe,0.0,0,1667,0
212361,John Jacobs,Silver,Any occasion,Extra Wide,146 mm,JJ E16356,5000,5000,No offer,465,Any age group,Silver Half Rim Rectangle Eyeglasses,eyeframe,0.0,0,561,0
138249,John Jacobs,Blue,Brunch,Extra Wide,142 mm,JJ S13082,5000,5000,JJSUN,116,,Blue Wayfarer Full Rim Sunglasses,sunglasses,4.85,7,5923,1018
152042,Lenskart Air,Maroon,,Medium,134 mm,LA E14639,2000,2000,VCEYE,510,,Maroon Half Rim Square Eyeglasses,eyeframe,4.3,6,2676,0
152765,John Jacobs,Brown Transparent,Any occasion,Medium,133 mm,JJ E13003,3500,3500,JJEYE,261,Any age group,Brown Transparent Full Rim Rectangle Eyeglasses,eyeframe,4.1,31,2783,0
152828,Vincent Chase Online,Gunmetal,Brunch,Wide,138 mm,VC E14712,1700,1700,VCEYE,353,Any age group,Gunmetal Orange Full Rim Cat Eye Eyeglasses,eyeframe,4.65,13,4665,0
200665,Hooper Switch,Purple,Any occasion,8-12 yrs,127 mm,HP E14852L,1500,1500,HOOPEREYE,512,8-12 yrs,Purple Full Rim Round Eyeglasses,eyeframe,0.0,0,994,0
208302,John Jacobs,Transparent,Any occasion,Medium,134 mm,JJ S13028,5000,5000,JJSUN,406,,Transparent Cat Eye Full Rim Sunglasses,sunglasses,4.0,5,448,0
211010,Hooper,Pink,,2-5 yrs,105 mm,HP S16084,1000,1000,HOOPERSUN,77,2-5 yrs,Hooper Pink Transparent Full Rim  Sunglasses,sunglasses,0.0,0,666,0
212601,Vincent Chase Polarized,Gold,Any occasion,Narrow,134 mm,VC S15528,2000,2000,VCSUN,1412,Any age group,Gold Geometric Full Rim Sunglasses,sunglasses,0.0,0,694,0
148248,Vincent Chase Online,Brown,Any occasion,Narrow,133 mm,VC E13884,1700,1700,VCEYE,816,Any age group,Brown Transparent Full Rim Rectangle Eyeglasses,eyeframe,4.5,118,4950,1169
149213,John Jacobs,Copper,Any occasion,Narrow,130 mm,JJ E14149,3500,3500,JJBOGO,686,Any age group,Full Rim Round Eyeglasses,eyeframe,5.0,1,1044,99
152537,Hooper online,Black,Any occasion,8-12 yrs,126 mm,HP E10033M,1000,1000,HOOPEREYE,236,8-12 yrs,Black Full Rim Round Eyeglasses,eyeframe,5.0,1,2384,0
201356,Vincent Chase,Gold,Brunch,Wide,139 mm,VC E14966,1700,1700,VCEYE,112,Any age group,Gold Green Full Rim Round Eyeglasses,eyeframe,5.0,9,4668,0
204487,Vincent Chase Online,Blue,Working,Medium,136 mm,VC E14917,1700,1700,VCEYE,7,Any age group,Blue Full Rim Cat Eye Eyeglasses,eyeframe,4.65,3,3392,0
207211,John Jacobs,Silver Black,Any occasion,Medium,137 mm,JJ E15469,5000,5000,JJEYE,806,Any age group,Silver Black Full Rim Hexagonal Eyeglasses,eyeframe,0.0,0,634,0
208783,Vincent Chase,Gold,Any occasion,Narrow,133 mm,VC E15701,2000,2000,VCEYE,423,Any age group,No search keywords,eyeframe,0.0,0,1713,0
209192,Lenskart READERS,Black,,Narrow,133 mm,LR E13699,500,500,,184,,Black Half Rim Rectangle Eyeglasses,non_power_reading,0.0,0,1733,0
215258,John Jacobs,Grey Transparent,,Wide,139 mm,JJ E16622,3500,3500,,1668,,John Jacobs Grey Full Rim Rectangle Eyeglasses,eyeframe,0.0,0,131,0
123978,Vincent Chase Polarized,Gold,Any occasion,Wide,141 mm,VC 5158/P,1500,1500,VCSUN,5178,,Golden Aviator Full Rim Sunglasses,sunglasses,4.4,1131,56266,32891
148307,John Jacobs,Tortoise,Any occasion,Wide,140 mm,JJ E14008L,3500,3500,JJBOGO,308,Any age group,Tortoise Full Rim Rectangle Eyeglasses,eyeframe,4.7,17,2249,543
200664,Hooper Switch,Black,Any occasion,8-12 yrs,127 mm,HP E14852L,1500,1500,HOOPEREYE,711,8-12 yrs,Black Full Rim Round Eyeglasses,eyeframe,0.0,0,912,0
208191,Vincent Chase,Grey,Any occasion,Narrow,130 mm,VC E15575,1700,1700,VCEYE,41,,Black Grey Full Rim Geometric Eyeglasses,eyeframe,3.3,3,3992,0
208883,Hooper,Transparent,Any occasion,8-12 yrs,126 mm,HP E10031L,1000,1000,HOOPEREYE,745,8-12 yrs,Transparent Full Rim Square Eyeglasses,eyeframe,5.0,2,1796,0
209200,Lenskart READERS,Grey,Any occasion,Medium,137 mm,LR E13701,399,399,No offer,587,Any age group,Grey Transparent Full Rim Rectangle Eyeglasses,non_power_reading,0.0,0,865,0
211034,Hooper,White,Any occasion,2-5 yrs,114 mm,HP E16079,1000,1000,HOOPEREYE,490,2-5 yrs,Transparent Full Rim Round Eyeglasses,eyeframe,0.0,0,480,0
211395,Lenskart Air,Green,Any occasion,Medium,134 mm,LA E16157,1700,1700,VCEYE,1860,Any age group,No search keywords,eyeframe,0.0,0,555,0
213268,Vincent Chase Polarized,Green,Any occasion,Extra Narrow,127 mm,VC S16551,2000,2000,VCSUN,1086,Any age group,No search keywords,sunglasses,0.0,0,200,0
143916,Lenskart Blu,Grey,Any occasion,Medium,134 mm,LB E13528,1500,1500,LKBLUCE,759,Any age group,Grey Full Rim Round Eyeglasses,non_power_reading,4.4,114,8495,1525
147732,Vincent Chase,Black,Any occasion,Narrow,132 mm,VC E13476-S,1700,1700,VCEYE,2,Any age group,Black Full Rim Rectangle Eyeglasses,eyeframe,4.8,19,18771,2562
204482,Vincent Chase Online,Purple,Working,Medium,138 mm,VC E14915,1700,1700,VCEYE,1,,Black Purple Full Rim Square Eyeglasses,eyeframe,4.85,7,3076,0
207215,John Jacobs,Silver,Any occasion,Medium,134 mm,JJ E15470,5000,5000,JJEYE,1001,Any age group,Silver Full Rim Round Eyeglasses,eyeframe,0.0,0,678,0
